"","Symbol","company_name","sector","subsector","Enterprise Value/Revenue","rev","Revenue Per Share (ttm)","Quarterly Revenue Growth (yoy)","sql"
"286","LYV","Live Nation Entertainment","Communication Services","Movies & Entertainment","N/A",1.164e+10,"52.60","669.90%","values ('LYV', 'Live Nation Entertainment', 'Communication Services', 'Movies & Entertainment',  11640000000) union all"
"287","LKQ","LKQ Corporation","Consumer Discretionary","Distributors","N/A",1.317e+10,"45.78","-2.70%","values ('LKQ', 'LKQ Corporation', 'Consumer Discretionary', 'Distributors',  13170000000) union all"
"288","LMT","Lockheed Martin","Industrials","Aerospace & Defense","N/A",6.472e+10,"241.70","3.50%","values ('LMT', 'Lockheed Martin', 'Industrials', 'Aerospace & Defense',  64720000000) union all"
"289","L","Loews Corporation","Financials","Multi-line Insurance","N/A",1.382e+10,"55.18","-15.40%","values ('L', 'Loews Corporation', 'Financials', 'Multi-line Insurance',  13820000000) union all"
"290","LOW","Lowes","Consumer Discretionary","Home Improvement Retail","N/A",9.539e+10,"143.45","-0.30%","values ('LOW', 'Lowes', 'Consumer Discretionary', 'Home Improvement Retail',  95390000000) union all"
"291","LUMN","Lumen Technologies","Communication Services","Alternative Carriers","N/A",1.902e+10,"18.60","-6.30%","values ('LUMN', 'Lumen Technologies', 'Communication Services', 'Alternative Carriers',  19020000000) union all"
"292","LYB","LyondellBasell","Materials","Specialty Chemicals","N/A",5.353e+10,"161.71","28.30%","values ('LYB', 'LyondellBasell', 'Materials', 'Specialty Chemicals',  53530000000) union all"
"293","MTB","M&T Bank","Financials","Regional Banks","N/A",6.77e+09,"44.38","36.60%","values ('MTB', 'M&T Bank', 'Financials', 'Regional Banks',   6770000000) union all"
"294","MRO","Marathon Oil","Energy","Oil & Gas Exploration & Production","N/A",7.13e+09,"9.49","73.10%","values ('MRO', 'Marathon Oil', 'Energy', 'Oil & Gas Exploration & Production',   7130000000) union all"
"295","MPC","Marathon Petroleum","Energy","Oil & Gas Refining & Marketing","N/A",1.6024e+11,"274.86","81.80%","values ('MPC', 'Marathon Petroleum', 'Energy', 'Oil & Gas Refining & Marketing', 160240000000) union all"
"296","MKTX","MarketAxess","Financials","Financial Exchanges & Data","N/A",705460000,"18.82","6.20%","values ('MKTX', 'MarketAxess', 'Financials', 'Financial Exchanges & Data',    705460000) union all"
"297","MAR","Marriott International","Consumer Discretionary","Hotels, Resorts & Cruise Lines","N/A",4.54e+09,"13.84","74.80%","values ('MAR', 'Marriott International', 'Consumer Discretionary', 'Hotels, Resorts & Cruise Lines',   4540000000) union all"
"298","MMC","Marsh McLennan","Financials","Insurance Brokers","N/A",2.084e+10,"41.53","4.10%","values ('MMC', 'Marsh McLennan', 'Financials', 'Insurance Brokers',  20840000000) union all"
"299","MLM","Martin Marietta Materials","Materials","Construction Materials","N/A",5.54e+09,"88.77","17.60%","values ('MLM', 'Martin Marietta Materials', 'Materials', 'Construction Materials',   5540000000) union all"
"300","MAS","Masco","Industrials","Building Products","N/A",8.78e+09,"37.52","0.00%","values ('MAS', 'Masco', 'Industrials', 'Building Products',   8780000000) union all"
"301","MTCH","Match Group","Communication Services","Interactive Media & Services","N/A",3.2e+09,"11.33","12.30%","values ('MTCH', 'Match Group', 'Communication Services', 'Interactive Media & Services',   3200000000) union all"
"302","MKC","McCormick & Company","Consumer Staples","Packaged Foods & Meats","N/A",6.39e+09,"23.83","3.00%","values ('MKC', 'McCormick & Company', 'Consumer Staples', 'Packaged Foods & Meats',   6390000000) union all"
"303","MCK","McKesson","Health Care","Health Care Distributors","N/A",2.6845e+11,"1,798.03","7.10%","values ('MCK', 'McKesson', 'Health Care', 'Health Care Distributors', 268450000000) union all"
"304","MDT","Medtronic","Health Care","Health Care Equipment","N/A",3.107e+10,"23.21","-7.70%","values ('MDT', 'Medtronic', 'Health Care', 'Health Care Equipment',  31070000000) union all"
"305","MRK","Merck & Co.","Health Care","Pharmaceuticals","N/A",5.717e+10,"22.61","28.00%","values ('MRK', 'Merck & Co.', 'Health Care', 'Pharmaceuticals',  57170000000) union all"
"306","META","Meta Platforms","Communication Services","Interactive Media & Services","N/A",1.1941e+11,"43.40","-0.90%","values ('META', 'Meta Platforms', 'Communication Services', 'Interactive Media & Services', 119410000000) union all"
"307","MET","MetLife","Financials","Life & Health Insurance","N/A",6.831e+10,"82.16","-16.00%","values ('MET', 'MetLife', 'Financials', 'Life & Health Insurance',  68310000000) union all"
"308","MTD","Mettler Toledo","Health Care","Life Sciences Tools & Services","N/A",3.87e+09,"169.30","5.80%","values ('MTD', 'Mettler Toledo', 'Health Care', 'Life Sciences Tools & Services',   3870000000) union all"
"309","MGM","MGM Resorts","Consumer Discretionary","Casinos & Gaming","N/A",1.177e+10,"26.09","48.40%","values ('MGM', 'MGM Resorts', 'Consumer Discretionary', 'Casinos & Gaming',  11770000000) union all"
"310","MCHP","Microchip Technology","Information Technology","Semiconductors","N/A",7.22e+09,"13.03","25.10%","values ('MCHP', 'Microchip Technology', 'Information Technology', 'Semiconductors',   7220000000) union all"
"311","MU","Micron Technology","Information Technology","Semiconductors","N/A",3.076e+10,"27.66","-19.70%","values ('MU', 'Micron Technology', 'Information Technology', 'Semiconductors',  30760000000) union all"
"312","MSFT","Microsoft","Information Technology","Systems Software","N/A",1.9827e+11,"26.45","12.40%","values ('MSFT', 'Microsoft', 'Information Technology', 'Systems Software', 198270000000) union all"
"313","MRNA","Moderna","Health Care","Biotechnology","N/A",2.299e+10,"57.20","9.10%","values ('MRNA', 'Moderna', 'Health Care', 'Biotechnology',  22990000000) union all"
"314","MHK","Mohawk Industries","Consumer Discretionary","Home Furnishings","N/A",1.175e+10,"177.96","6.70%","values ('MHK', 'Mohawk Industries', 'Consumer Discretionary', 'Home Furnishings',  11750000000) union all"
"315","MOH","Molina Healthcare","Health Care","Managed Health Care","N/A",3.037e+10,"525.48","16.00%","values ('MOH', 'Molina Healthcare', 'Health Care', 'Managed Health Care',  30370000000) union all"
"316","TAP","Molson Coors Beverage Company","Consumer Staples","Brewers","N/A",1.058e+10,"48.72","-0.60%","values ('TAP', 'Molson Coors Beverage Company', 'Consumer Staples', 'Brewers',  10580000000) union all"
"317","MDLZ","Mondelez International","Consumer Staples","Packaged Foods & Meats","N/A",2.988e+10,"21.49","9.50%","values ('MDLZ', 'Mondelez International', 'Consumer Staples', 'Packaged Foods & Meats',  29880000000) union all"
"318","MPWR","Monolithic Power Systems","Information Technology","Semiconductors","N/A",1.5e+09,"32.37","57.20%","values ('MPWR', 'Monolithic Power Systems', 'Information Technology', 'Semiconductors',   1500000000) union all"
"319","MNST","Monster Beverage","Consumer Staples","Soft Drinks","N/A",6.01e+09,"11.36","13.20%","values ('MNST', 'Monster Beverage', 'Consumer Staples', 'Soft Drinks',   6010000000) union all"
"320","MCO","Moodys Corporation","Financials","Financial Exchanges & Data","N/A",5.72e+09,"30.98","-16.40%","values ('MCO', 'Moodys Corporation', 'Financials', 'Financial Exchanges & Data',   5720000000) union all"
"321","MS","Morgan Stanley","Financials","Investment Banking & Brokerage","N/A",5.544e+10,"32.32","-12.00%","values ('MS', 'Morgan Stanley', 'Financials', 'Investment Banking & Brokerage',  55440000000) union all"
"322","MOS","The Mosaic Company","Materials","Fertilizers & Agricultural Chemicals","N/A",1.655e+10,"44.77","91.80%","values ('MOS', 'The Mosaic Company', 'Materials', 'Fertilizers & Agricultural Chemicals',  16550000000) union all"
"323","MSI","Motorola Solutions","Information Technology","Communications Equipment","N/A",8.46e+09,"50.26","8.60%","values ('MSI', 'Motorola Solutions', 'Information Technology', 'Communications Equipment',   8460000000) union all"
"324","NDAQ","Nasdaq, Inc.","Financials","Financial Exchanges & Data","N/A",6.11e+09,"12.35","14.70%","values ('NDAQ', 'Nasdaq, Inc.', 'Financials', 'Financial Exchanges & Data',   6110000000) union all"
"325","NTAP","NetApp","Information Technology","Technology Hardware, Storage & Peripherals","N/A",6.45e+09,"29.03","9.20%","values ('NTAP', 'NetApp', 'Information Technology', 'Technology Hardware, Storage & Peripherals',   6450000000) union all"
"326","NFLX","Netflix","Communication Services","Movies & Entertainment","N/A",3.147e+10,"70.84","5.90%","values ('NFLX', 'Netflix', 'Communication Services', 'Movies & Entertainment',  31470000000) union all"
"327","NWL","Newell Brands","Consumer Discretionary","Housewares & Specialties","N/A",1.051e+10,"24.93","-6.50%","values ('NWL', 'Newell Brands', 'Consumer Discretionary', 'Housewares & Specialties',  10510000000) union all"
"328","NEM","Newmont","Materials","Gold","N/A",1.237e+10,"15.56","-0.20%","values ('NEM', 'Newmont', 'Materials', 'Gold',  12370000000) union all"
"329","NWSA","News Corp (Class A)","Communication Services","Publishing","N/A",1.039e+10,"17.62","7.30%","values ('NWSA', 'News Corp (Class A)', 'Communication Services', 'Publishing',  10390000000) union all"
"330","NWS","News Corp (Class B)","Communication Services","Publishing","N/A",1.039e+10,"17.62","7.30%","values ('NWS', 'News Corp (Class B)', 'Communication Services', 'Publishing',  10390000000) union all"
"331","NEE","NextEra Energy","Utilities","Multi-Utilities","N/A",1.749e+10,"8.90","32.00%","values ('NEE', 'NextEra Energy', 'Utilities', 'Multi-Utilities',  17490000000) union all"
"332","NKE","Nike, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","N/A",4.715e+10,"29.93","3.60%","values ('NKE', 'Nike, Inc.', 'Consumer Discretionary', 'Apparel, Accessories & Luxury Goods',  47150000000) union all"
"333","NI","NiSource","Utilities","Multi-Utilities","N/A",5.42e+09,"13.55","20.00%","values ('NI', 'NiSource', 'Utilities', 'Multi-Utilities',   5420000000) union all"
"334","NDSN","Nordson Corporation","Industrials","Industrial Machinery","N/A",2.51e+09,"43.31","2.40%","values ('NDSN', 'Nordson Corporation', 'Industrials', 'Industrial Machinery',   2510000000) union all"
"335","NSC","Norfolk Southern Railway","Industrials","Railroads","N/A",1.236e+10,"52.04","17.20%","values ('NSC', 'Norfolk Southern Railway', 'Industrials', 'Railroads',  12360000000) union all"
"336","NTRS","Northern Trust","Financials","Asset Management & Custody Banks","N/A",6.91e+09,"33.22","6.50%","values ('NTRS', 'Northern Trust', 'Financials', 'Asset Management & Custody Banks',   6910000000) union all"
"337","NOC","Northrop Grumman","Industrials","Aerospace & Defense","N/A",3.496e+10,"222.44","-3.80%","values ('NOC', 'Northrop Grumman', 'Industrials', 'Aerospace & Defense',  34960000000) union all"
"338","NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines","N/A",2.35e+09,"5.88","27,079.10%","values ('NCLH', 'Norwegian Cruise Line Holdings', 'Consumer Discretionary', 'Hotels, Resorts & Cruise Lines',   2350000000) union all"
"339","NRG","NRG Energy","Utilities","Independent Power Producers & Energy Traders","N/A",2.883e+10,"118.90","38.90%","values ('NRG', 'NRG Energy', 'Utilities', 'Independent Power Producers & Energy Traders',  28830000000) union all"
"340","NUE","Nucor","Materials","Steel","N/A",4.315e+10,"160.62","1.80%","values ('NUE', 'Nucor', 'Materials', 'Steel',  43150000000) union all"
"341","NVDA","Nvidia","Information Technology","Semiconductors","N/A",2.974e+10,"11.89","3.00%","values ('NVDA', 'Nvidia', 'Information Technology', 'Semiconductors',  29740000000) union all"
"342","NVR","NVR, Inc.","Consumer Discretionary","Homebuilding","N/A",1.007e+10,"3,005.99","16.30%","values ('NVR', 'NVR, Inc.', 'Consumer Discretionary', 'Homebuilding',  10070000000) union all"
"343","NXPI","NXP Semiconductors","Information Technology","Semiconductors","N/A",1.235e+10,"46.68","27.60%","values ('NXPI', 'NXP Semiconductors', 'Information Technology', 'Semiconductors',  12350000000) union all"
"344","ORLY","OReilly Auto Parts","Consumer Discretionary","Specialty Stores","N/A",1.406e+10,"214.43","9.20%","values ('ORLY', 'OReilly Auto Parts', 'Consumer Discretionary', 'Specialty Stores',  14060000000) union all"
"345","OXY","Occidental Petroleum","Energy","Oil & Gas Exploration & Production","N/A",3.373e+10,"35.99","79.20%","values ('OXY', 'Occidental Petroleum', 'Energy', 'Oil & Gas Exploration & Production',  33730000000) union all"
"346","ODFL","Old Dominion","Industrials","Trucking","N/A",6.18e+09,"54.45","14.50%","values ('ODFL', 'Old Dominion', 'Industrials', 'Trucking',   6180000000) union all"
"347","OMC","Omnicom Group","Communication Services","Advertising","N/A",1.428e+10,"68.74","0.20%","values ('OMC', 'Omnicom Group', 'Communication Services', 'Advertising',  14280000000) union all"
"348","ON","ON Semiconductor","Information Technology","Semiconductors","N/A",7.62e+09,"17.62","24.90%","values ('ON', 'ON Semiconductor', 'Information Technology', 'Semiconductors',   7620000000) union all"
"349","OKE","Oneok","Energy","Oil & Gas Storage & Transportation","N/A",2.14e+10,"47.87","76.90%","values ('OKE', 'Oneok', 'Energy', 'Oil & Gas Storage & Transportation',  21400000000) union all"
"350","ORCL","Oracle Corporation","Information Technology","Application Software","N/A",4.416e+10,"16.48","17.60%","values ('ORCL', 'Oracle Corporation', 'Information Technology', 'Application Software',  44160000000) union all"
"351","OGN","Organon & Co.","Health Care","Pharmaceuticals","N/A",6.35e+09,"25.05","-0.60%","values ('OGN', 'Organon & Co.', 'Health Care', 'Pharmaceuticals',   6350000000) union all"
"352","OTIS","Otis Worldwide","Industrials","Industrial Machinery","N/A",1.409e+10,"33.22","-5.80%","values ('OTIS', 'Otis Worldwide', 'Industrials', 'Industrial Machinery',  14090000000) union all"
"353","PCAR","Paccar","Industrials","Construction Machinery & Heavy Trucks","N/A",2.738e+10,"78.59","37.20%","values ('PCAR', 'Paccar', 'Industrials', 'Construction Machinery & Heavy Trucks',  27380000000) union all"
"354","PKG","Packaging Corporation of America","Materials","Paper Packaging","N/A",8.54e+09,"91.73","6.30%","values ('PKG', 'Packaging Corporation of America', 'Materials', 'Paper Packaging',   8540000000) union all"
"355","PARA","Paramount Global","Communication Services","Movies & Entertainment","N/A",2.972e+10,"45.82","18.50%","values ('PARA', 'Paramount Global', 'Communication Services', 'Movies & Entertainment',  29720000000) union all"
"356","PH","Parker Hannifin","Industrials","Industrial Machinery","N/A",1.586e+10,"123.40","5.80%","values ('PH', 'Parker Hannifin', 'Industrials', 'Industrial Machinery',  15860000000) union all"
"357","PAYX","Paychex","Information Technology","Data Processing & Outsourced Services","N/A",4.74e+09,"13.13","11.40%","values ('PAYX', 'Paychex', 'Information Technology', 'Data Processing & Outsourced Services',   4740000000) union all"
"358","PAYC","Paycom","Information Technology","Application Software","N/A",1.21e+09,"20.90","30.90%","values ('PAYC', 'Paycom', 'Information Technology', 'Application Software',   1210000000) union all"
"359","PYPL","PayPal","Information Technology","Data Processing & Outsourced Services","N/A",2.639e+10,"22.60","9.10%","values ('PYPL', 'PayPal', 'Information Technology', 'Data Processing & Outsourced Services',  26390000000) union all"
"360","PNR","Pentair","Industrials","Industrial Machinery","N/A",4.11e+09,"24.91","8.90%","values ('PNR', 'Pentair', 'Industrials', 'Industrial Machinery',   4110000000) union all"
"361","PEP","PepsiCo","Consumer Staples","Soft Drinks","N/A",8.364e+10,"60.49","8.80%","values ('PEP', 'PepsiCo', 'Consumer Staples', 'Soft Drinks',  83640000000) union all"
"362","PKI","PerkinElmer","Health Care","Health Care Equipment","N/A",5.02e+09,"40.74","0.10%","values ('PKI', 'PerkinElmer', 'Health Care', 'Health Care Equipment',   5020000000) union all"
"363","PFE","Pfizer","Health Care","Pharmaceuticals","N/A",1.0128e+11,"18.06","46.80%","values ('PFE', 'Pfizer', 'Health Care', 'Pharmaceuticals', 101280000000) union all"
"364","PM","Philip Morris International","Consumer Staples","Tobacco","N/A",3.171e+10,"20.43","-1.10%","values ('PM', 'Philip Morris International', 'Consumer Staples', 'Tobacco',  31710000000) union all"
"365","PSX","Phillips 66","Energy","Oil & Gas Refining & Marketing","N/A",1.476e+11,"325.61","79.90%","values ('PSX', 'Phillips 66', 'Energy', 'Oil & Gas Refining & Marketing', 147600000000) union all"
"366","PNW","Pinnacle West","Utilities","Multi-Utilities","N/A",3.95e+09,"34.96","6.10%","values ('PNW', 'Pinnacle West', 'Utilities', 'Multi-Utilities',   3950000000) union all"
"367","PXD","Pioneer Natural Resources","Energy","Oil & Gas Exploration & Production","N/A",2.369e+10,"97.49","64.10%","values ('PXD', 'Pioneer Natural Resources', 'Energy', 'Oil & Gas Exploration & Production',  23690000000) union all"
"368","PNC","PNC Financial Services","Financials","Regional Banks","N/A",2.074e+10,"49.74","-1.70%","values ('PNC', 'PNC Financial Services', 'Financials', 'Regional Banks',  20740000000) union all"
"369","POOL","Pool Corporation","Consumer Discretionary","Distributors","N/A",6.12e+09,"155.05","14.40%","values ('POOL', 'Pool Corporation', 'Consumer Discretionary', 'Distributors',   6120000000) union all"
"370","PPG","PPG Industries","Materials","Specialty Chemicals","N/A",1.766e+10,"74.67","2.20%","values ('PPG', 'PPG Industries', 'Materials', 'Specialty Chemicals',  17660000000) union all"
"371","PPL","PPL Corporation","Utilities","Electric Utilities","N/A",6.47e+09,"8.68","31.70%","values ('PPL', 'PPL Corporation', 'Utilities', 'Electric Utilities',   6470000000) union all"
"372","PFG","Principal Financial Group","Financials","Life & Health Insurance","N/A",1.728e+10,"66.23","88.10%","values ('PFG', 'Principal Financial Group', 'Financials', 'Life & Health Insurance',  17280000000) union all"
"373","PG","Procter & Gamble","Consumer Staples","Personal Products","N/A",8.046e+10,"33.53","1.30%","values ('PG', 'Procter & Gamble', 'Consumer Staples', 'Personal Products',  80460000000) union all"
"374","PGR","Progressive Corporation","Financials","Property & Casualty Insurance","N/A",4.861e+10,"83.19","7.80%","values ('PGR', 'Progressive Corporation', 'Financials', 'Property & Casualty Insurance',  48610000000) union all"
"375","PLD","Prologis","Real Estate","Industrial REITs","N/A",5.91e+09,"7.99","44.00%","values ('PLD', 'Prologis', 'Real Estate', 'Industrial REITs',   5910000000) union all"
"376","PRU","Prudential Financial","Financials","Life & Health Insurance","N/A",6.43e+10,"170.11","-17.90%","values ('PRU', 'Prudential Financial', 'Financials', 'Life & Health Insurance',  64300000000) union all"
"377","PEG","Public Service Enterprise Group","Utilities","Electric Utilities","N/A",9.35e+09,"18.64","10.80%","values ('PEG', 'Public Service Enterprise Group', 'Utilities', 'Electric Utilities',   9350000000) union all"
"378","PTC","PTC","Information Technology","Application Software","N/A",1.91e+09,"16.27","6.20%","values ('PTC', 'PTC', 'Information Technology', 'Application Software',   1910000000) union all"
"379","PSA","Public Storage","Real Estate","Specialized REITs","N/A",3.91e+09,"22.33","24.10%","values ('PSA', 'Public Storage', 'Real Estate', 'Specialized REITs',   3910000000) union all"
"380","PHM","PulteGroup","Consumer Discretionary","Homebuilding","N/A",1.542e+10,"63.94","13.40%","values ('PHM', 'PulteGroup', 'Consumer Discretionary', 'Homebuilding',  15420000000) union all"
"381","QRVO","Qorvo","Information Technology","Semiconductors","N/A",4.57e+09,"42.13","-6.80%","values ('QRVO', 'Qorvo', 'Information Technology', 'Semiconductors',   4570000000) union all"
"382","PWR","Quanta Services","Industrials","Construction & Engineering","N/A",1.547e+10,"108.54","41.10%","values ('PWR', 'Quanta Services', 'Industrials', 'Construction & Engineering',  15470000000) union all"
"383","QCOM","Qualcomm","Information Technology","Semiconductors","N/A",4.214e+10,"37.46","35.70%","values ('QCOM', 'Qualcomm', 'Information Technology', 'Semiconductors',  42140000000) union all"
"384","DGX","Quest Diagnostics","Health Care","Health Care Services","N/A",1.029e+10,"87.61","-10.40%","values ('DGX', 'Quest Diagnostics', 'Health Care', 'Health Care Services',  10290000000) union all"
"385","RL","Ralph Lauren Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods","N/A",6.33e+09,"87.86","8.30%","values ('RL', 'Ralph Lauren Corporation', 'Consumer Discretionary', 'Apparel, Accessories & Luxury Goods',   6330000000) union all"
"386","RJF","Raymond James","Financials","Investment Banking & Brokerage","N/A",1.09e+10,"51.94","4.70%","values ('RJF', 'Raymond James', 'Financials', 'Investment Banking & Brokerage',  10900000000) union all"
"387","RTX","Raytheon Technologies","Industrials","Aerospace & Defense","N/A",6.603e+10,"44.56","4.60%","values ('RTX', 'Raytheon Technologies', 'Industrials', 'Aerospace & Defense',  66030000000) union all"
"388","O","Realty Income","Real Estate","Retail REITs","N/A",2.79e+09,"5.29","73.50%","values ('O', 'Realty Income', 'Real Estate', 'Retail REITs',   2790000000) union all"
"389","REG","Regency Centers","Real Estate","Retail REITs","N/A",1.27e+09,"7.43","13.30%","values ('REG', 'Regency Centers', 'Real Estate', 'Retail REITs',   1270000000) union all"
"390","REGN","Regeneron","Health Care","Biotechnology","N/A",1.423e+10,"133.27","-44.40%","values ('REGN', 'Regeneron', 'Health Care', 'Biotechnology',  14230000000) union all"
"391","RF","Regions Financial Corporation","Financials","Regional Banks","N/A",6.58e+09,"7.00","-2.00%","values ('RF', 'Regions Financial Corporation', 'Financials', 'Regional Banks',   6580000000) union all"
"392","RSG","Republic Services","Industrials","Environmental & Facilities Services","N/A",1.227e+10,"38.67","21.40%","values ('RSG', 'Republic Services', 'Industrials', 'Environmental & Facilities Services',  12270000000) union all"
"393","RMD","ResMed","Health Care","Health Care Equipment","N/A",3.58e+09,"24.50","4.40%","values ('RMD', 'ResMed', 'Health Care', 'Health Care Equipment',   3580000000) union all"
"394","RHI","Robert Half","Industrials","Human Resource & Employment Services","N/A",7.28e+09,"66.89","7.10%","values ('RHI', 'Robert Half', 'Industrials', 'Human Resource & Employment Services',   7280000000) union all"
"395","ROK","Rockwell Automation","Industrials","Electrical Components & Equipment","N/A",7.44e+09,"64.11","6.50%","values ('ROK', 'Rockwell Automation', 'Industrials', 'Electrical Components & Equipment',   7440000000) union all"
"396","ROL","Rollins, Inc.","Industrials","Environmental & Facilities Services","N/A",2.63e+09,"5.35","12.20%","values ('ROL', 'Rollins, Inc.', 'Industrials', 'Environmental & Facilities Services',   2630000000) union all"
"397","ROP","Roper Technologies","Information Technology","Electronic Equipment & Instruments","N/A",6.14e+09,"58.03","-7.70%","values ('ROP', 'Roper Technologies', 'Information Technology', 'Electronic Equipment & Instruments',   6140000000) union all"
"398","ROST","Ross Stores","Consumer Discretionary","Apparel Retail","N/A",1.851e+10,"53.19","-4.60%","values ('ROST', 'Ross Stores', 'Consumer Discretionary', 'Apparel Retail',  18510000000) union all"
"399","RCL","Royal Caribbean Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines","N/A",4.68e+09,"18.37","4,190.10%","values ('RCL', 'Royal Caribbean Group', 'Consumer Discretionary', 'Hotels, Resorts & Cruise Lines',   4680000000) union all"
"400","SPGI","S&P Global","Financials","Financial Exchanges & Data","N/A",9.56e+09,"34.90","42.10%","values ('SPGI', 'S&P Global', 'Financials', 'Financial Exchanges & Data',   9560000000) union all"
"401","CRM","Salesforce","Information Technology","Application Software","N/A",2.932e+10,"29.66","21.80%","values ('CRM', 'Salesforce', 'Information Technology', 'Application Software',  29320000000) union all"
"402","SBAC","SBA Communications","Real Estate","Specialized REITs","N/A",2.46e+09,"22.62","13.30%","values ('SBAC', 'SBA Communications', 'Real Estate', 'Specialized REITs',   2460000000) union all"
"403","SLB","Schlumberger","Energy","Oil & Gas Equipment & Services","N/A",2.644e+10,"18.73","27.90%","values ('SLB', 'Schlumberger', 'Energy', 'Oil & Gas Equipment & Services',  26440000000) union all"
"404","STX","Seagate Technology","Information Technology","Technology Hardware, Storage & Peripherals","N/A",1.058e+10,"49.10","-34.70%","values ('STX', 'Seagate Technology', 'Information Technology', 'Technology Hardware, Storage & Peripherals',  10580000000) union all"
"405","SEE","Sealed Air","Materials","Paper Packaging","N/A",5.77e+09,"39.04","6.70%","values ('SEE', 'Sealed Air', 'Materials', 'Paper Packaging',   5770000000) union all"
"406","SRE","Sempra Energy","Utilities","Multi-Utilities","N/A",1.422e+10,"44.82","29.40%","values ('SRE', 'Sempra Energy', 'Utilities', 'Multi-Utilities',  14220000000) union all"
"407","NOW","ServiceNow","Information Technology","Systems Software","N/A",6.92e+09,"34.54","21.10%","values ('NOW', 'ServiceNow', 'Information Technology', 'Systems Software',   6920000000) union all"
"408","SHW","Sherwin-Williams","Materials","Specialty Chemicals","N/A",2.168e+10,"83.84","17.50%","values ('SHW', 'Sherwin-Williams', 'Materials', 'Specialty Chemicals',  21680000000) union all"
"409","SBNY","Signature Bank","Financials","Regional Banks","N/A",2.54e+09,"41.19","35.50%","values ('SBNY', 'Signature Bank', 'Financials', 'Regional Banks',   2540000000) union all"
"410","SPG","Simon Property Group","Real Estate","Retail REITs","N/A",5.2e+09,"15.81","2.00%","values ('SPG', 'Simon Property Group', 'Real Estate', 'Retail REITs',   5200000000) union all"
"411","SWKS","Skyworks Solutions","Information Technology","Semiconductors","N/A",5.39e+09,"32.91","10.40%","values ('SWKS', 'Skyworks Solutions', 'Information Technology', 'Semiconductors',   5390000000) union all"
"412","SJM","The J.M. Smucker Company","Consumer Staples","Packaged Foods & Meats","N/A",8.01e+09,"74.58","0.80%","values ('SJM', 'The J.M. Smucker Company', 'Consumer Staples', 'Packaged Foods & Meats',   8010000000) union all"
"413","SNA","Snap-on","Industrials","Industrial Machinery","N/A",4.79e+09,"89.82","5.80%","values ('SNA', 'Snap-on', 'Industrials', 'Industrial Machinery',   4790000000) union all"
"414","SEDG","SolarEdge","Information Technology","Semiconductor Equipment","N/A",2.46e+09,"46.08","51.60%","values ('SEDG', 'SolarEdge', 'Information Technology', 'Semiconductor Equipment',   2460000000) union all"
"415","SO","Southern Company","Utilities","Electric Utilities","N/A",2.586e+10,"24.33","38.60%","values ('SO', 'Southern Company', 'Utilities', 'Electric Utilities',  25860000000) union all"
"416","LUV","Southwest Airlines","Industrials","Airlines","N/A",2.115e+10,"35.67","67.90%","values ('LUV', 'Southwest Airlines', 'Industrials', 'Airlines',  21150000000) union all"
"417","SBUX","Starbucks","Consumer Discretionary","Restaurants","N/A",3.198e+10,"27.54","8.70%","values ('SBUX', 'Starbucks', 'Consumer Discretionary', 'Restaurants',  31980000000) union all"
"418","STT","State Street Corporation","Financials","Asset Management & Custody Banks","N/A",1.204e+10,"32.82","-1.10%","values ('STT', 'State Street Corporation', 'Financials', 'Asset Management & Custody Banks',  12040000000) union all"
"419","STE","Steris","Health Care","Health Care Equipment","N/A",4.77e+09,"47.72","19.40%","values ('STE', 'Steris', 'Health Care', 'Health Care Equipment',   4770000000) union all"
"420","SYK","Stryker Corporation","Health Care","Health Care Equipment","N/A",1.763e+10,"46.67","4.60%","values ('SYK', 'Stryker Corporation', 'Health Care', 'Health Care Equipment',  17630000000) union all"
"421","SIVB","SVB Financial","Financials","Regional Banks","N/A",5.83e+09,"98.96","-1.20%","values ('SIVB', 'SVB Financial', 'Financials', 'Regional Banks',   5830000000) union all"
"422","SYF","Synchrony Financial","Financials","Consumer Finance","N/A",8.58e+09,"17.03","-19.30%","values ('SYF', 'Synchrony Financial', 'Financials', 'Consumer Finance',   8580000000) union all"
"423","SNPS","Synopsys","Information Technology","Application Software","N/A",4.95e+09,"32.34","18.00%","values ('SNPS', 'Synopsys', 'Information Technology', 'Application Software',   4950000000) union all"
"424","SYY","Sysco","Consumer Staples","Food Distributors","N/A",6.864e+10,"134.41","17.50%","values ('SYY', 'Sysco', 'Consumer Staples', 'Food Distributors',  68640000000) union all"
"425","TMUS","T-Mobile US","Communication Services","Wireless Telecommunication Services","N/A",8.023e+10,"64.16","-1.20%","values ('TMUS', 'T-Mobile US', 'Communication Services', 'Wireless Telecommunication Services',  80230000000) union all"
"426","TROW","T. Rowe Price","Financials","Asset Management & Custody Banks","N/A",7.29e+09,"32.17","-21.60%","values ('TROW', 'T. Rowe Price', 'Financials', 'Asset Management & Custody Banks',   7290000000) union all"
"427","TTWO","Take-Two Interactive","Communication Services","Interactive Home Entertainment","N/A",3.79e+09,"31.44","35.50%","values ('TTWO', 'Take-Two Interactive', 'Communication Services', 'Interactive Home Entertainment',   3790000000) union all"
